"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1370878;8.1707;61.6349;1027
;1370879;8.1895;61.6358;1216
;1370880;8.2082;61.6368;1856
;1370881;8.2269;61.6377;2026
;1370882;8.2457;61.6386;2161
;1370883;8.2644;61.6396;2042
;1370884;8.2832;61.6405;2004
;1370885;8.3019;61.6414;2224
;1370886;8.3206;61.6423;2175
;1370887;8.3394;61.6433;2010
;1370888;8.3581;61.6442;1863
;1370889;8.3769;61.6451;1693
;1370890;8.3956;61.646;1503
;1370891;8.4144;61.6469;1074
;1370892;8.4331;61.6478;1254
;1370893;8.4519;61.6487;1386
;1370894;8.4706;61.6496;1525
;1370895;8.4894;61.6505;1863
;1370896;8.5081;61.6514;1983
;1370897;8.5269;61.6523;2161
;1370898;8.5456;61.6532;2273
;1372063;7.9855;61.6165;1308
;1372064;8.0042;61.6174;1309
;1372065;8.0229;61.6184;1571
;1372066;8.0416;61.6194;1012
;1372067;8.0604;61.6203;1494
;1372068;8.0791;61.6213;1387
;1372069;8.0978;61.6222;1561
;1372070;8.1165;61.6232;2090
;1372071;8.1353;61.6241;1942
;1372072;8.154;61.6251;1595
;1372073;8.1727;61.626;1000
;1372074;8.1914;61.6269;1240
;1372075;8.2102;61.6279;1844
;1372076;8.2289;61.6288;1808
;1372077;8.2476;61.6297;1783
;1372078;8.2664;61.6307;2213
;1372079;8.2851;61.6316;2092
;1372080;8.3038;61.6325;2117
;1372081;8.3226;61.6334;2178
;1372082;8.3413;61.6343;2229
;1372083;8.3601;61.6353;1962
;1372084;8.3788;61.6362;1826
;1372085;8.3975;61.6371;1442
;1372086;8.4163;61.638;1072
;1372087;8.435;61.6389;1442
;1372088;8.4538;61.6398;1480
;1372089;8.4725;61.6407;1491
;1372090;8.4913;61.6416;1586
;1372091;8.51;61.6425;1774
;1372092;8.5288;61.6434;1916
;1373258;7.9875;61.6076;1378
;1373259;8.0062;61.6085;1544
;1373260;8.0249;61.6095;1543
;1373261;8.0437;61.6104;1030
;1373262;8.0624;61.6114;1558
;1373263;8.0811;61.6124;1506
;1373264;8.0998;61.6133;1865
;1373265;8.1185;61.6143;1889
;1373266;8.1372;61.6152;1658
;1373267;8.156;61.6161;1327
;1373268;8.1747;61.6171;1018
;1373269;8.1934;61.618;1224
;1373270;8.2121;61.619;1433
;1373271;8.2309;61.6199;1668
;1373272;8.2496;61.6208;1675
;1373273;8.2683;61.6217;1806
;1373274;8.287;61.6227;2044
;1373275;8.3058;61.6236;2099
;1373276;8.3245;61.6245;1984
;1373277;8.3432;61.6254;1876
;1373278;8.362;61.6263;1850
;1373279;8.3807;61.6273;1530
;1373280;8.3994;61.6282;1146
;1373281;8.4182;61.6291;1219
;1373282;8.4369;61.63;1790
;1373283;8.4557;61.6309;1627
;1373284;8.4744;61.6318;1566
;1373285;8.4931;61.6327;1537
;1373286;8.5119;61.6336;1867
;1373287;8.5306;61.6345;1972
;1374455;8.027;61.6006;1300
;1374456;8.0457;61.6015;1224
;1374457;8.0644;61.6025;1445
;1374458;8.0831;61.6034;1605
;1374459;8.1018;61.6044;1991
;1374460;8.1205;61.6053;1825
;1374461;8.1392;61.6063;1786
;1374462;8.1579;61.6072;1616
;1374463;8.1767;61.6082;1070
;1374464;8.1954;61.6091;1241
;1374465;8.2141;61.61;1394
;1374466;8.2328;61.611;1809
;1374467;8.2515;61.6119;1938
;1374468;8.2703;61.6128;1891
;1374469;8.289;61.6138;2141
;1374470;8.3077;61.6147;2148
;1374471;8.3264;61.6156;2093
;1374472;8.3452;61.6165;1697
;1374473;8.3639;61.6174;1611
;1374474;8.3826;61.6183;1262
;1374475;8.4014;61.6192;1115
;1374476;8.4201;61.6202;1572
;1374477;8.4388;61.6211;1834
;1374478;8.4576;61.622;1871
;1374479;8.4763;61.6229;1730
;1374480;8.495;61.6238;1542
;1374481;8.5138;61.6246;1673
;1374482;8.5325;61.6255;1839
;1375650;8.029;61.5917;1258
;1375651;8.0477;61.5926;1419
;1375652;8.0664;61.5936;1468
;1375653;8.0851;61.5945;1672
;1375654;8.1038;61.5955;1976
;1375655;8.1225;61.5964;1803
;1375656;8.1412;61.5974;1592
;1375657;8.1599;61.5983;1377
;1375658;8.1786;61.5993;1103
;1375659;8.1973;61.6002;1471
;1375660;8.2161;61.6011;1526
;1375661;8.2348;61.6021;1739
;1375662;8.2535;61.603;2075
;1375663;8.2722;61.6039;2082
;1375664;8.2909;61.6048;1938
;1375665;8.3096;61.6058;1783
;1375666;8.3284;61.6067;1567
;1375667;8.3471;61.6076;1411
;1375668;8.3658;61.6085;1321
;1375669;8.3845;61.6094;1186
;1375670;8.4032;61.6103;1254
;1375671;8.422;61.6112;1893
;1375672;8.4407;61.6121;1944
;1375673;8.4594;61.613;1830
;1375674;8.4782;61.6139;1677
;1375675;8.4969;61.6148;1577
;1375676;8.5156;61.6157;1610
;1375677;8.5344;61.6166;1770
;1376844;8.0123;61.5818;1581
;1376845;8.031;61.5828;1246
;1376846;8.0497;61.5837;1432
;1376847;8.0684;61.5847;1580
;1376848;8.0871;61.5856;1742
;1376849;8.1058;61.5866;1796
;1376850;8.1245;61.5875;1981
;1376851;8.1432;61.5885;1978
;1376852;8.1619;61.5894;1593
;1376853;8.1806;61.5903;1219
;1376854;8.1993;61.5913;1186
;1376855;8.218;61.5922;1681
;1376856;8.2367;61.5931;1616
;1376857;8.2554;61.5941;1757
;1376858;8.2741;61.595;2117
;1376859;8.2928;61.5959;1974
;1376860;8.3116;61.5968;1771
;1376861;8.3303;61.5978;1666
;1376862;8.349;61.5987;2066
;1376863;8.3677;61.5996;1852
;1376864;8.3864;61.6005;1268
;1376865;8.4052;61.6014;1260
;1376866;8.4239;61.6023;1652
;1376867;8.4426;61.6032;1919
;1376868;8.4613;61.6041;2040
;1376869;8.4801;61.605;1690
;1376870;8.4988;61.6059;1620
;1376871;8.5175;61.6068;1652
;1376872;8.5362;61.6077;1773
;1378039;8.0143;61.5729;1501
;1378040;8.033;61.5738;1261
;1378041;8.0517;61.5748;1387
;1378042;8.0704;61.5758;1494
;1378043;8.0891;61.5767;1576
;1378044;8.1078;61.5777;1774
;1378045;8.1265;61.5786;1822
;1378046;8.1452;61.5795;1710
;1378047;8.1639;61.5805;1474
;1378048;8.1826;61.5814;1433
;1378049;8.2013;61.5824;1260
;1378050;8.22;61.5833;1418
;1378051;8.2387;61.5842;1814
;1378052;8.2574;61.5852;1804
;1378053;8.2761;61.5861;1851
;1378054;8.2948;61.587;2044
;1378055;8.3135;61.5879;1974
;1378056;8.3322;61.5888;2075
