*Time*          *Precip*      *Precip*     *Precip*     *Temp*         *Temp*         *Temp*
                 Selbu         Berkaak      Roros        Selbu          Berkaak        Roros      
19880519/1200    3.500000      3.000000     0.000000     3.900000       0.500000       2.200000           
19880520/1200    0.000000      0.000000     0.000000     4.600000       3.700000       3.000000           
19880521/1200    1.700000      0.200000     0.600000     3.500000       3.600000       2.600000           
19880522/1200    0.000000      0.000000     0.000000     6.400000       5.100000       3.000000           
19880523/1200    0.000000      0.100000     1.600000     5.700000       4.200000       3.700000           
19880524/1200    0.900000      2.100000     3.600000     10.300000      7.700000       7.200000           
19880525/1200    0.000000      0.000000     0.000000     12.100000      11.400000      10.400000          
19880526/1200    0.000000      0.000000     0.000000     15.500000      13.600000      12.600000          
19880527/1200    0.000000      0.000000     0.000000     18.299999      15.900000      14.000000          
19880528/1200    0.000000      0.000000     0.000000     20.500000      17.600000      15.500000          
19880529/1200    0.000000      0.000000     0.000000     20.100000      17.900000      14.100000          
19880530/1200    0.000000      0.000000     0.000000     17.799999      14.500000      15.700000          
19880531/1200    9.499999      9.600000     2.900000     11.500000      11.100000      10.100000          
19880601/1200    3.500000      1.800000     2.800000     10.200000      9.500000       8.700000           
19880602/1200    0.000000      2.000000     1.200000     10.100000      8.300000       8.800000           
19880603/1200    4.000000      0.200000     1.000000     8.800000       7.300000       9.300000           
19880604/1200    3.400000      2.500000     1.000000     8.400000       7.100000       8.900000           
19880605/1200    9.600000      22.500000    12.000000    6.300000       5.400000       5.200000           
19880606/1200    0.200000      0.000000     0.000000     12.200000      11.800000      11.800000          
19880607/1200    0.000000      0.000000     0.000000     15.500000      13.800000      13.200000          
19880608/1200    0.000000      0.000000     0.000000     15.600000      14.600000      14.400000          
19880609/1200    0.000000      0.300000     0.000000     9.600000       9.000000       9.400000           
19880610/1200    0.000000      0.000000     0.000000     9.800000       7.500000       7.800000           
19880611/1200    1.700000      0.300000     0.400000     8.900000       8.500000       7.700000           
19880612/1200    0.000000      0.000000     0.000000     13.100000      12.200000      13.100000          
