*Time*            *Precip*    *Temp*
Saeternbekken
19960913/0000     2.3     4.55              
19960913/0100     1.63    4.4               
19960913/0200     0.82    4.6               
19960913/0300     0.71    4.6               
19960913/0400     0.92    4.55              
19960913/0500     1.84    4.4               
19960913/0600     1.12    4.35              
19960913/0700     1.12    4.3               
19960913/0800     1.12    4.35              
19960913/0900     2.24    4.5               
19960913/1000     2.35    4.8               
19960913/1100     3.16    5.1               
19960913/1200     3.77    5.2               
19960913/1300     2.35    5.55              
19960913/1400     1.43    6                 
19960913/1500     0.51    6.2               
19960913/1600     0.71    6.35              
19960913/1700     0.1     6.35              
19960913/1800     0       6.35              
19960913/1900     0       6.4               
19960913/2000     0.31    6.35              
19960913/2100     0.1     6.2               
19960913/2200     0.1     6                 
19960913/2300     0       5.95              
19960914/0000     0       5.9               
19960914/0100     0       6.05              
19960914/0200     0       6.1               
19960914/0300     0       6.05              
19960914/0400     0       5.95              
19960914/0500     0       6                 
19960914/0600     0       6.1               
19960914/0700     0       6.75              
19960914/0800     0       8.5               
19960914/0900     0       7.9               
19960914/1000     0       9.45              
19960914/1100     0       10.3              
19960914/1200     0       11.55             
19960914/1300     0       12.25             
19960914/1400     0       13.9              
19960914/1500     0       11.1              
19960914/1600     0       10.45             
19960914/1700     0       9.7               
19960914/1800     0       7.85              
19960914/1900     0       7.2               
19960914/2000     0       6.3               
19960914/2100     0       5.8               
19960914/2200     0       5.25              
19960914/2300     0       4.75              
19960915/0000     0       4.4               
19960915/0100     0       4.3               
19960915/0200     0       3.95              
19960915/0300     0       3.3               
19960915/0400     0       3.3               
19960915/0500     0       2.4               
19960915/0600     0       3.45              
19960915/0700     0       6.5               
19960915/0800     0       9.85              
19960915/0900     0       11.3              
19960915/1000     0       12.35             
19960915/1100     0       12.9              
19960915/1200     0       14.4              
19960915/1300     0       15.55             
19960915/1400     0       15.05             
19960915/1500     0       13                
19960915/1600     0       12.35             
19960915/1700     0       10.7              
19960915/1800     0       9.25              
19960915/1900     0       8.45              
19960915/2000     0       7.3               
19960915/2100     0       7.05              
19960915/2200     0       6.7               
19960915/2300     0       6.55              
19960916/0000     0       6.25              
19960916/0100     0       6.25              
19960916/0200     0       6.1               
19960916/0300     0       5.75              
